#PI: Shappee 
#OBJECT: ASASSN-14lp 
#JD: 2457013.04269 
# 
#Angstrom    Flux(erg/s/cm**2/Angstrom) 
4076.2 1.0070773e-13 
4077.7 1.0433392e-13 
4079.2 1.0434085e-13 
4080.7 1.0717381e-13 
4082.2 9.9899925e-14 
4083.7 1.023944e-13 
4085.2 1.0362179e-13 
4086.7 1.060603e-13 
4088.1 1.0191964e-13 
4089.6 1.0841935e-13 
4091.1 1.0183313e-13 
4092.6 1.0235818e-13 
4094.1 1.0126805e-13 
4095.6 9.6083308e-14 
4097.1 9.8886617e-14 
4098.6 9.6779731e-14 
4100.1 9.5894589e-14 
4101.6 9.8822608e-14 
4103.1 9.6227946e-14 
4104.6 9.851711e-14 
4106.1 9.6105025e-14 
4107.5 9.5833428e-14 
4109.0 9.6451447e-14 
4110.5 9.0340929e-14 
4112.0 9.0374307e-14 
4113.5 8.896515e-14 
4115.0 9.864831e-14 
4116.5 9.2222697e-14 
4118.0 8.7746888e-14 
4119.5 9.0656608e-14 
4121.0 9.2327492e-14 
4122.5 9.2455857e-14 
4124.0 9.359988e-14 
4125.5 8.8827947e-14 
4126.9 8.9771976e-14 
4128.4 9.1447136e-14 
4129.9 8.792821e-14 
4131.4 9.1252662e-14 
4132.9 8.9320348e-14 
4134.4 9.1368086e-14 
4135.9 8.838527e-14 
4137.4 9.153418e-14 
4138.9 9.3523565e-14 
4140.4 9.304071e-14 
4141.9 8.9993053e-14 
4143.4 8.6725599e-14 
4144.9 9.1005155e-14 
4146.3 8.8682588e-14 
4147.8 9.1603757e-14 
4149.3 9.140702e-14 
4150.8 9.3383228e-14 
4152.3 9.1272601e-14 
4153.8 9.5398421e-14 
4155.3 8.9474023e-14 
4156.8 9.2029428e-14 
4158.3 8.9295312e-14 
4159.8 8.9335216e-14 
4161.3 9.0445177e-14 
4162.8 8.5036428e-14 
4164.3 8.7468241e-14 
4165.8 8.7626442e-14 
4167.2 8.7411232e-14 
4168.7 8.7868341e-14 
4170.2 8.5179102e-14 
4171.7 8.7691246e-14 
4173.2 8.230665e-14 
4174.7 8.3433518e-14 
4176.2 8.1675155e-14 
4177.7 7.8816254e-14 
4179.2 8.2236849e-14 
4180.7 8.3795168e-14 
4182.2 7.9619599e-14 
4183.7 7.5701878e-14 
4185.2 7.7206905e-14 
4186.6 7.7072635e-14 
4188.1 7.7138234e-14 
4189.6 7.4916459e-14 
4191.1 7.6973247e-14 
4192.6 7.1618524e-14 
4194.1 7.3169882e-14 
4195.6 7.2704878e-14 
4197.1 7.2135502e-14 
4198.6 7.3529356e-14 
4200.1 7.4850425e-14 
4201.6 6.9343108e-14 
4203.1 6.8703147e-14 
4204.6 7.0729528e-14 
4206.0 6.8062627e-14 
4207.5 6.5179162e-14 
4209.0 6.7910444e-14 
4210.5 6.592679e-14 
4212.0 6.7465169e-14 
4213.5 6.6061805e-14 
4215.0 6.3596552e-14 
4216.5 6.5248155e-14 
4218.0 6.1768525e-14 
4219.5 6.1905977e-14 
4221.0 6.1829711e-14 
4222.5 6.2325942e-14 
4224.0 6.363356e-14 
4225.4 6.0925201e-14 
4226.9 5.8843439e-14 
4228.4 5.9954147e-14 
4229.9 6.0353165e-14 
4231.4 5.8833631e-14 
4232.9 5.7000457e-14 
4234.4 5.80188e-14 
4235.9 5.5585495e-14 
4237.4 5.8376559e-14 
4238.9 5.7284847e-14 
4240.4 5.5004831e-14 
4241.9 5.5006286e-14 
4243.4 5.4555218e-14 
4244.8 5.5701926e-14 
4246.3 5.3361992e-14 
4247.8 5.0954581e-14 
4249.3 5.5060362e-14 
4250.8 5.2364757e-14 
4252.3 5.221383e-14 
4253.8 4.8729003e-14 
4255.3 5.0150093e-14 
4256.8 5.1693557e-14 
4258.3 4.948849e-14 
4259.8 4.6987969e-14 
4261.3 5.0021194e-14 
4262.8 4.73778e-14 
4264.2 4.8011981e-14 
4265.7 4.9537618e-14 
4267.2 4.8941167e-14 
4268.7 5.082685e-14 
4270.2 5.0413499e-14 
4271.7 4.9997661e-14 
